ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1785431227.622,17:07:07,timeslice,1,0.0,7389,16126,45.8
1785431227.622,17:07:07,timeslice,2,0.0,7389,16126,45.8
1785431227.622,17:07:07,timeslice,3,0.0,7389,16126,45.8
1785431227.622,17:07:07,timeslice,4,0.0,7389,16126,45.8
1785431227.622,17:07:07,timeslice,5,0.0,7389,16126,45.8
1785431227.622,17:07:07,timeslice,6,0.0,7390,16126,45.8
1785431227.622,17:07:07,timeslice,7,0.0,7389,16126,45.8
1785431228.622,17:07:08,timeslice,0,0.0,7389,16126,45.8
1785431228.622,17:07:08,timeslice,1,0.0,7389,16126,45.8
1785431228.622,17:07:08,timeslice,2,0.0,7389,16126,45.8
1785431228.622,17:07:08,timeslice,3,0.0,7389,16126,45.8
1785431228.622,17:07:08,timeslice,4,0.0,7389,16126,45.8
1785431228.622,17:07:08,timeslice,5,0.0,7389,16126,45.8
1785431228.622,17:07:08,timeslice,6,0.0,7390,16126,45.8
1785431228.622,17:07:08,timeslice,7,0.0,7389,16126,45.8
1785431229.622,17:07:09,timeslice,0,0.0,7389,16126,45.8
1785431229.622,17:07:09,timeslice,1,0.0,7389,16126,45.8
1785431229.622,17:07:09,timeslice,2,0.0,7389,16126,45.8
1785431229.622,17:07:09,timeslice,3,0.0,7389,16126,45.8
1785431229.622,17:07:09,timeslice,4,0.0,7389,16126,45.8
1785431229.622,17:07:09,timeslice,5,0.0,7389,16126,45.8
1785431229.622,17:07:09,timeslice,6,0.0,7390,16126,45.8
1785431229.622,17:07:09,timeslice,7,0.0,7389,16126,45.8
1785431230.622,17:07:10,timeslice,0,0.0,7389,16126,45.8
1785431230.622,17:07:10,timeslice,1,0.0,7389,16126,45.8
1785431230.622,17:07:10,timeslice,2,0.0,7389,16126,45.8
1785431230.622,17:07:10,timeslice,3,0.0,7389,16126,45.8
1785431230.622,17:07:10,timeslice,4,0.0,7389,16126,45.8
1785431230.622,17:07:10,timeslice,5,0.0,7389,16126,45.8
1785431230.622,17:07:10,timeslice,6,0.0,7390,16126,45.8
1785431230.622,17:07:10,timeslice,7,0.0,7389,16126,45.8
1785431231.622,17:07:11,timeslice,0,0.0,7389,16126,45.8
1785431231.622,17:07:11,timeslice,1,0.0,7389,16126,45.8
1785431231.622,17:07:11,timeslice,2,0.0,7389,16126,45.8
1785431231.622,17:07:11,timeslice,3,0.0,7389,16126,45.8
1785431231.622,17:07:11,timeslice,4,0.0,7389,16126,45.8
1785431231.622,17:07:11,timeslice,5,0.0,7389,16126,45.8
1785431231.622,17:07:11,timeslice,6,0.0,7390,16126,45.8
1785431231.622,17:07:11,timeslice,7,0.0,7389,16126,45.8
1785431232.622,17:07:12,timeslice,0,0.0,7389,16126,45.8
1785431232.622,17:07:12,timeslice,1,0.0,7389,16126,45.8
1785431232.622,17:07:12,timeslice,2,0.0,7389,16126,45.8
1785431232.622,17:07:12,timeslice,3,0.0,7389,16126,45.8
1785431232.622,17:07:12,timeslice,4,0.0,7389,16126,45.8
1785431232.622,17:07:12,timeslice,5,0.0,7389,16126,45.8
1785431232.622,17:07:12,timeslice,6,0.0,7390,16126,45.8
1785431232.622,17:07:12,timeslice,7,0.0,7389,16126,45.8
1785431233.623,17:07:13,timeslice,0,5.0,6405,16126,39.7
1785431233.623,17:07:13,timeslice,1,12.6,6422,16126,39.8
1785431233.623,17:07:13,timeslice,2,13.0,6422,16126,39.8
1785431233.623,17:07:13,timeslice,3,13.4,6363,16126,39.5
1785431233.623,17:07:13,timeslice,4,11.9,6418,16126,39.8
1785431233.623,17:07:13,timeslice,5,12.2,6419,16126,39.8
1785431233.623,17:07:13,timeslice,6,10.5,6322,16126,39.2
1785431233.623,17:07:13,timeslice,7,12.9,6415,16126,39.8
1785431234.623,17:07:14,timeslice,0,5.0,6405,16126,39.7
1785431234.623,17:07:14,timeslice,1,12.6,6422,16126,39.8
1785431234.623,17:07:14,timeslice,2,13.0,6422,16126,39.8
1785431234.623,17:07:14,timeslice,3,13.4,6363,16126,39.5
1785431234.623,17:07:14,timeslice,4,11.9,6418,16126,39.8
1785431234.623,17:07:14,timeslice,5,12.2,6419,16126,39.8
1785431234.623,17:07:14,timeslice,6,10.5,6322,16126,39.2
1785431234.623,17:07:14,timeslice,7,12.9,6415,16126,39.8
1785431235.623,17:07:15,timeslice,0,5.0,6405,16126,39.7
1785431235.623,17:07:15,timeslice,1,12.6,6422,16126,39.8
